Hours Studied,Previous Scores,Sleep Hours,Sample Question Papers Practiced,Performance Index,Extracurricular Activities
3,48,5,3,23,Yes
4,45,7,0,26,Yes
2,57,5,8,30,No
1,53,6,8,28,No
7,58,5,7,48,No
8,53,6,4,46,Yes
7,79,9,4,73,Yes
5,56,8,9,45,Yes
1,99,7,5,76,No
7,74,8,0,71,No
7,68,9,8,60,No
9,81,8,4,77,No
3,56,7,6,36,No
9,98,6,7,96,No
1,82,9,4,62,Yes
1,47,9,2,22,No
4,40,6,5,21,Yes
9,84,6,6,79,No
6,92,7,3,82,No
3,75,5,8,55,Yes
1,46,4,3,22,Yes
4,85,5,9,70,Yes
9,44,5,1,37,No
3,63,8,8,42,No
9,67,4,3,64,Yes
7,82,6,3,72,No
4,56,5,9,42,Yes
3,76,7,0,56,No
5,59,5,1,43,No
5,42,6,2,24,No
3,76,5,6,55,Yes
9,65,9,8,64,No
4,54,8,4,34,Yes
5,90,8,3,78,Yes
4,87,5,1,71,Yes
5,47,8,6,33,Yes
7,52,7,5,46,Yes
9,87,4,6,86,Yes
7,42,5,7,34,Yes
5,40,7,8,26,Yes
7,48,9,9,44,Yes
5,70,7,4,53,No
3,80,7,4,61,Yes
7,93,9,3,84,No
2,65,6,2,40,Yes
9,56,5,6,53,No
1,95,5,4,67,No
6,73,5,6,58,No
7,48,4,1,41,No
8,95,7,8,89,No
9,90,5,8,85,No
2,52,8,8,33,Yes
2,44,6,4,20,Yes
5,80,9,9,66,Yes
5,52,9,8,38,Yes
6,40,4,0,25,Yes
3,64,9,1,43,Yes
8,86,6,9,79,No
1,43,7,4,16,Yes
6,75,9,4,67,No
4,91,9,5,80,No
1,49,8,7,26,No
7,67,7,0,57,No
9,96,5,9,91,No
4,45,6,8,29,No
4,66,9,3,48,Yes
6,95,8,7,84,No
3,51,6,4,33,No
6,91,4,0,82,Yes
7,87,8,8,81,Yes
3,42,4,7,24,Yes
7,85,9,4,81,Yes
3,72,8,3,54,Yes
2,49,5,7,25,Yes
4,70,6,8,53,Yes
8,54,6,6,48,No
9,46,7,3,40,Yes
7,75,8,6,66,No
1,53,8,5,29,Yes
3,95,4,2,73,Yes
9,87,8,9,89,No
1,53,6,2,27,Yes
9,42,8,0,40,Yes
8,88,7,4,83,Yes
1,92,7,7,69,Yes
6,85,6,5,72,Yes
5,89,6,7,77,Yes
6,42,6,6,32,Yes
5,61,8,1,49,No
6,58,8,7,44,Yes
5,74,5,3,57,No
5,51,9,4,34,No
4,93,9,7,76,No
3,44,4,4,22,No
3,49,8,4,30,No
4,80,5,5,67,No
9,72,5,6,71,No
2,52,7,8,29,Yes
9,74,8,6,74,Yes
1,90,5,5,67,Yes
1,71,7,9,46,No
5,50,4,3,34,Yes
6,87,7,9,76,No
6,77,4,1,64,No
3,63,9,8,46,Yes
7,74,9,9,68,No
9,58,6,4,58,No
8,45,6,4,41,Yes
6,79,7,2,64,No
8,93,6,2,84,Yes
5,84,8,0,70,No
8,83,7,4,77,No
4,81,5,2,60,Yes
8,74,8,1,65,Yes
2,43,7,8,21,Yes
5,72,9,9,60,No
9,52,4,5,48,No
4,95,6,2,77,Yes
6,75,6,6,63,Yes
1,93,6,8,68,Yes
9,82,7,8,81,No
1,58,8,0,29,No
5,82,4,1,66,Yes
4,51,6,7,36,Yes
3,50,8,0,29,Yes
6,45,5,2,32,No
2,51,9,6,31,Yes
3,66,5,7,45,Yes
5,80,4,4,65,Yes
9,64,6,1,57,No
2,81,5,2,58,No
8,42,9,8,38,Yes
2,42,8,9,22,No
5,59,8,6,48,Yes
7,67,5,0,59,Yes
8,62,6,2,58,Yes
1,87,9,8,62,Yes
6,42,4,6,30,No
1,81,6,1,56,Yes
2,63,7,5,40,Yes
1,82,5,8,59,No
5,79,7,3,65,Yes
9,45,5,9,43,No
6,59,4,1,48,Yes
1,50,6,2,24,Yes
1,71,9,6,51,Yes
2,99,6,3,81,Yes
9,66,5,6,62,No
3,60,8,4,43,Yes
1,83,7,7,63,No
5,87,9,7,73,No
7,89,9,4,76,No
6,52,6,6,43,Yes
1,61,6,5,34,No
5,74,5,7,57,No
5,86,8,8,72,No
6,61,7,4,47,Yes
3,67,8,6,52,Yes
5,60,9,0,49,No
7,85,8,7,77,No
5,57,5,2,41,Yes
5,70,8,0,56,No
5,99,7,5,89,No
3,85,9,7,65,No
1,76,4,2,49,Yes
5,60,9,0,48,No
9,53,4,2,47,No
1,64,7,4,37,Yes
3,66,9,7,48,No
4,79,9,8,61,Yes
1,99,9,8,77,Yes
1,99,9,3,75,Yes
8,62,5,7,57,No
2,70,6,4,45,No
8,86,9,2,82,No
7,99,5,4,90,No
2,68,7,1,42,No
6,86,9,5,74,No
6,69,8,0,60,No
3,90,9,5,73,No
2,65,9,4,40,Yes
1,59,4,8,32,No
6,77,8,6,67,No
5,58,9,5,46,Yes
9,66,9,6,65,No
1,64,9,9,42,Yes
7,79,5,4,69,No
5,77,7,0,62,No
5,91,4,8,75,Yes
2,62,9,4,40,Yes
3,68,7,3,43,No
7,54,4,5,42,Yes
6,98,4,4,84,No
2,42,4,0,15,No
6,49,9,1,39,No
2,54,5,3,26,No
2,95,9,7,73,No
2,55,9,4,34,No
3,56,7,6,34,Yes
2,58,6,1,37,Yes
4,50,6,7,34,Yes
9,87,6,4,85,No
6,44,7,3,31,Yes
1,44,8,8,18,No
8,97,7,5,92,Yes
7,53,4,3,44,No
3,89,9,7,72,No
1,65,8,2,40,No
5,47,4,9,31,No
4,44,9,1,25,No
8,46,9,6,44,Yes
1,55,4,3,27,No
1,94,7,3,66,Yes
4,53,6,9,34,No
8,76,8,8,70,No
5,95,9,1,81,No
2,80,5,0,56,Yes
6,43,9,6,30,No
5,75,6,7,60,Yes
2,87,9,2,64,No
3,95,5,1,74,Yes
9,56,7,3,52,Yes
7,86,9,1,84,Yes
7,75,8,1,66,No
6,45,7,4,32,No
8,55,5,9,47,Yes
4,68,4,4,51,No
8,75,9,7,67,No
4,77,7,8,57,No
8,76,9,1,71,Yes
9,87,8,0,86,Yes
3,96,9,2,77,No
3,87,7,5,72,Yes
2,49,6,4,24,No
3,80,7,7,60,No
3,75,5,7,55,Yes
5,68,7,1,54,Yes
5,53,8,8,39,No
2,43,7,3,19,No
6,83,7,0,68,No
5,95,8,1,83,Yes
6,81,7,5,72,Yes
1,75,8,4,49,No
5,89,5,6,74,No
9,84,8,8,86,Yes
2,52,5,5,26,No
1,85,5,5,60,Yes
9,57,8,1,54,Yes
9,72,7,6,73,No
9,60,9,1,61,No
6,55,6,6,45,Yes
8,54,9,7,57,No
1,93,8,0,68,Yes
4,96,7,8,72,Yes
1,44,5,7,17,Yes
8,45,4,8,37,No
1,77,6,4,54,No
3,42,9,3,22,No
4,87,7,0,73,Yes
8,51,6,8,47,Yes
6,75,4,3,63,Yes
7,72,4,3,63,Yes
8,75,4,3,68,No
2,72,9,1,52,No
8,70,8,3,64,No
3,60,6,1,38,Yes
7,66,8,7,60,Yes
3,66,4,6,45,No
7,47,7,9,39,Yes
2,95,4,1,75,No
6,76,8,1,67,Yes
3,71,4,1,48,Yes
3,65,4,0,44,Yes
9,41,8,5,37,Yes
7,51,8,5,41,Yes
5,61,7,0,47,No
7,56,8,0,45,No
9,46,7,5,43,No
1,82,5,5,54,Yes
7,43,5,3,32,No
6,76,8,2,64,No
9,77,4,8,74,Yes
1,71,6,5,50,Yes
4,50,4,0,33,No
9,40,8,2,36,No
4,64,7,0,45,No
3,81,4,2,58,No
9,91,5,1,85,No
2,63,9,4,41,Yes
4,92,8,2,78,No
6,82,4,6,63,No
2,95,9,7,76,No
8,56,4,6,51,No
8,47,7,1,36,No
1,98,7,9,74,No
3,84,7,9,65,Yes
9,66,9,6,65,Yes
5,91,6,9,79,Yes
6,57,9,2,46,No
4,66,8,6,47,No
2,61,8,0,42,Yes
8,55,5,1,46,No
6,41,5,9,34,No
5,44,8,0,27,No
9,57,4,8,52,Yes
1,42,8,1,17,Yes
5,66,6,1,53,Yes
6,93,5,5,84,No
5,56,5,6,39,Yes
6,55,9,1,44,Yes
6,45,5,3,36,Yes
7,90,8,2,81,No
4,46,5,4,30,Yes
8,89,5,8,80,Yes
7,53,9,1,41,No
9,77,8,4,77,Yes
7,79,4,7,69,No
3,54,5,5,34,No
3,86,5,3,64,Yes
8,86,5,9,78,Yes
5,87,6,7,74,Yes
4,72,8,2,52,No
8,82,5,3,76,Yes
6,66,6,8,53,Yes
2,68,4,4,46,Yes
4,96,4,5,77,No
4,76,9,1,59,No
6,44,9,8,35,No
6,68,9,7,61,Yes
1,71,6,6,46,Yes
8,99,4,8,97,No
6,92,9,4,86,Yes
3,45,7,4,24,Yes
9,41,9,8,37,No
2,45,4,4,18,No
8,85,7,8,84,No
3,82,6,0,59,Yes
5,43,7,9,29,Yes
6,95,4,9,84,Yes
6,68,5,7,60,No
4,98,7,2,78,No
3,64,4,7,46,Yes
4,48,9,4,31,No
1,95,5,1,68,No
4,42,6,8,25,Yes
1,65,6,3,37,No
1,87,8,6,62,Yes
6,82,6,7,69,No
5,66,8,6,50,Yes
4,75,6,5,55,No
3,71,6,6,54,Yes
1,40,6,3,12,No
6,96,8,9,88,No
2,92,9,0,69,No
8,93,8,4,88,No
5,55,7,7,41,No
7,90,4,9,83,Yes
2,87,4,5,62,Yes
8,50,9,4,45,Yes
2,65,4,1,42,No
4,79,6,9,65,Yes
1,94,9,4,73,No
5,40,4,9,23,No
9,65,8,2,61,Yes
1,67,7,1,41,Yes
9,92,5,2,85,No
8,97,7,3,93,No
6,48,4,1,35,Yes
7,99,9,3,92,Yes
3,98,4,3,79,No
1,83,8,5,57,No
5,61,7,4,49,Yes
2,47,8,6,28,No
5,97,8,6,85,No
8,88,5,2,82,Yes
9,81,8,8,80,Yes
2,66,8,6,41,No
3,78,5,6,57,No
3,58,6,1,41,Yes
1,64,6,9,43,No
8,77,9,2,73,Yes
6,60,5,2,46,No
8,63,9,5,61,Yes
9,63,9,3,61,No
5,99,8,3,87,No
3,99,9,0,78,No
5,58,4,5,43,Yes
5,89,7,7,75,Yes
5,86,4,7,72,Yes
3,41,4,7,18,No
4,53,8,4,36,No
9,92,7,9,92,Yes
9,71,9,5,71,Yes
2,81,7,4,58,No
8,71,9,3,69,No
8,67,6,3,58,No
7,87,5,3,74,No
8,78,8,3,72,Yes
3,79,9,5,61,Yes
6,81,9,5,74,No
1,86,7,4,60,No
7,79,8,8,70,No
1,52,9,7,27,Yes
9,51,6,9,49,Yes
1,47,4,5,17,No
1,54,9,8,34,No
7,65,7,4,51,No
2,51,6,9,27,No
5,82,8,3,67,No
8,90,9,5,84,No
8,85,6,3,81,Yes
3,66,6,7,45,Yes
7,57,6,6,50,Yes
3,84,6,4,67,No
6,75,6,9,67,No
6,88,6,5,77,No
3,90,5,6,70,Yes
7,66,8,1,59,No
3,48,4,8,27,Yes
8,94,8,6,88,No
4,78,7,7,60,No
1,40,7,4,14,No
4,46,8,2,27,Yes
7,65,6,1,54,Yes
4,46,5,1,32,Yes
6,91,4,2,79,No
9,46,9,0,44,Yes
1,47,9,0,20,No
5,55,6,6,42,No
7,42,8,9,33,Yes
1,84,9,7,58,Yes
4,49,8,5,31,No
6,89,5,6,75,No
2,46,5,0,22,No
5,60,8,0,46,No
1,92,6,8,68,Yes
6,76,6,4,66,Yes
6,70,6,6,60,Yes
4,62,9,5,44,No
8,96,4,3,90,No
4,66,4,0,47,No
8,95,6,3,88,Yes
8,61,8,9,56,No
5,78,5,9,66,No
4,96,7,7,78,Yes
2,66,5,0,43,Yes
3,93,5,1,72,No
3,88,7,7,69,Yes
4,43,6,1,24,No
4,63,5,9,47,Yes
5,62,7,8,45,No
4,87,9,2,72,Yes
8,58,8,2,51,Yes
6,81,8,5,73,Yes
6,42,8,2,28,Yes
8,66,6,8,56,No
7,42,5,7,29,No
8,67,5,3,60,Yes
2,56,4,5,28,No
9,70,8,7,66,Yes
1,49,6,3,21,Yes
8,88,7,4,84,No
4,61,6,6,42,No
4,69,5,7,51,No
5,88,8,6,74,No
8,60,4,7,50,No
5,75,9,3,62,No
8,92,6,0,90,No
1,62,4,5,32,Yes
9,77,5,4,71,No
6,51,7,3,37,Yes
3,64,6,1,42,No
8,93,9,0,85,No
9,96,5,8,96,Yes
6,59,8,1,51,Yes
7,88,6,8,82,Yes
1,88,4,5,64,Yes
5,81,6,5,67,No
5,46,5,1,32,No
4,68,5,5,50,Yes
6,87,4,2,73,Yes
7,68,9,6,62,No
9,52,5,9,48,No
1,42,6,3,20,Yes
6,41,9,8,33,No
7,55,4,4,43,No
3,69,5,9,49,Yes
8,77,5,2,70,Yes
5,45,6,0,28,Yes
9,84,5,0,82,Yes
5,46,6,3,29,No
9,44,8,9,42,Yes
4,95,9,9,79,No
9,46,6,3,41,No
5,73,7,8,61,No
9,71,5,7,69,No
3,88,8,3,68,Yes
4,52,9,5,38,No
9,69,4,6,67,Yes
6,64,7,9,54,No
2,60,4,7,39,Yes
7,99,7,3,93,No
2,98,8,0,76,No
2,60,9,4,39,Yes
1,67,8,0,38,Yes
3,87,8,3,69,Yes
6,97,7,6,88,Yes
8,59,6,6,54,No
9,73,9,0,68,No
7,44,4,8,33,No
4,57,6,1,40,No
6,99,6,4,87,No
5,78,5,5,64,Yes
8,82,4,0,70,Yes
1,96,7,1,70,No
1,96,5,6,72,Yes
6,50,5,5,38,No
2,93,8,5,71,No
5,56,7,5,40,Yes
1,87,6,6,58,No
7,84,9,9,77,Yes
1,61,6,8,38,No
4,76,6,8,60,Yes
9,59,8,1,57,No
1,87,6,1,63,No
4,99,4,4,82,Yes
6,93,6,9,84,No
6,93,6,6,84,No
8,87,4,2,77,Yes
1,87,8,2,61,Yes
7,85,5,3,73,Yes
1,45,7,2,15,No
7,73,8,2,64,Yes
3,53,6,7,33,Yes
8,87,5,6,78,Yes
3,62,7,6,43,No
1,59,7,9,34,Yes
8,52,7,1,48,No
3,86,4,8,66,No
2,83,4,5,60,Yes
1,80,5,2,53,No
3,71,6,8,51,No
2,65,5,8,43,No
2,89,6,5,68,No
6,92,8,9,80,No
1,53,7,5,26,Yes
2,91,7,7,70,Yes
6,96,4,7,85,Yes
3,75,8,5,57,No
4,47,9,6,30,Yes
1,79,8,3,56,No
8,61,6,0,53,No
7,61,8,3,52,No
7,55,4,7,47,No
3,66,6,7,48,Yes
3,95,5,1,78,No
2,99,6,6,79,Yes
1,99,5,0,75,Yes
7,49,9,1,40,No
7,64,6,7,59,Yes
2,70,7,9,49,Yes
7,60,9,3,48,Yes
8,66,5,2,60,No
1,56,4,1,29,No
9,72,9,5,68,No
7,70,9,3,63,Yes
3,89,9,2,71,Yes
8,81,5,2,76,No
7,65,5,9,57,No
8,60,6,2,54,Yes
6,75,7,7,61,No
9,40,9,8,34,No
5,43,6,8,32,Yes
3,43,6,4,23,Yes
3,65,7,0,44,No
1,43,6,9,18,No
8,88,7,4,82,No
2,48,4,0,18,No
3,69,7,8,52,Yes
8,90,8,9,88,No
8,84,7,7,78,No
4,43,7,6,26,Yes
4,44,8,1,26,Yes
5,84,7,1,74,Yes
6,62,5,3,52,Yes
5,55,6,8,40,Yes
7,61,6,8,54,Yes
2,76,4,7,51,Yes
7,47,4,4,35,No
7,87,8,6,79,No
1,72,5,8,45,Yes
7,94,4,2,81,No
5,99,6,3,87,No
3,77,4,1,56,Yes
3,82,4,8,65,Yes
4,55,7,6,38,Yes
2,44,4,5,17,Yes
2,55,8,4,35,Yes
1,46,6,6,20,No
5,90,8,2,75,No
4,40,8,4,26,Yes
2,48,9,1,23,Yes
3,57,5,4,38,No
7,84,9,6,78,No
7,97,9,9,91,No
4,86,7,6,67,Yes
5,42,8,8,31,Yes
5,63,5,2,49,No
6,67,6,7,57,Yes
9,49,6,4,45,No
2,48,5,6,22,Yes
5,52,8,0,35,Yes
3,87,8,0,65,No
4,74,7,3,53,No
6,93,7,4,79,Yes
8,62,9,9,57,No
1,86,6,2,58,Yes
8,56,7,5,50,No
7,85,5,2,75,No
1,46,6,4,17,Yes
2,91,8,0,70,Yes
3,55,6,2,36,Yes
1,92,4,6,61,No
9,79,6,2,78,No
8,75,7,4,71,Yes
2,59,5,6,36,No
9,63,8,1,63,Yes
7,86,8,2,78,Yes
9,44,7,3,39,Yes
6,84,7,4,70,Yes
6,45,7,8,34,Yes
4,67,4,8,49,No
2,98,5,3,71,No
7,44,4,8,34,Yes
5,88,7,3,77,No
6,78,5,1,67,Yes
